Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Virginia Tech massacre,55,"Blacksburg, Virginia",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",23,Two semiautomatic handguns,http://abcnews.go.com/US/story?id=3052278&page=1,37.2295733,"9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns",Male,School,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.","['virginia', 'tech', 'student', 'seung', 'hui', 'cho', '23', 'opened', 'fire', ""school's"", 'campus', 'committing', 'suicide', 'district', 'court', 'ruled', 'cho', 'imminent', 'danger', 'others', 'result', 'mental', 'illness', 'two', 'years', 'earlier', 'directed', 'cho', 'seek', 'treatment']",4/16/2007,Asian,Yes,"A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ",-80.4139393,http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mental-health-reporting-policy-summary/,32,2007,"Purchased variously online and from Roanoke Firearms in Roanoke, Va."
Trolley Square shooting,10,"Salt Lake City, Utah",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,"One revolver, one shotgun",http://www.deseretnews.com/article/660205647/Ex-relative-calls-Talovic-vicious-troubled.html?pg=all,40.7606467,Mossberg Maverick 88 Field shotgun; .38-caliber Smith & Wesson M36 revolver,Male,Other,"Sulejman Talović, 18, rampaged through the shopping center until he was shot dead by police.","['sulejman', 'talovi', '18', 'rampaged', 'shopping', 'center', 'shot', 'dead', 'police', 'according', 'one', 'relative', 'violent', 'mental', 'capacity', 'child', 'accounts', 'others', 'indicate', 'shooter']",2/12/2007,white,Unknown,"According to one relative, he was violent and had the mental capacity of a child. (But accounts from others did not indicate this about the shooter.)",-111.89109,http://www.deseretnews.com/article/660205647/Ex-relative-calls-Talovic-vicious-troubled.html?pg=all; http://www.cbsnews.com/stories/2007/02/15/national/main2480419.shtml; http://www.cbsnews.com/8301-201_162-2823327.html,6,2007,"Purchased variously from Sportsman's Fast Cash in West Valley City, Utah and individuals "
Amish school shooting,11,"Lancaster County, Pennsylvania",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",5,"One semiautomatic handgun, one rifle, one shotgun",http://www.cnn.com/2006/US/10/03/amish.shooting/index.html,39.9589,Springfield semiautomatic handgun; .30-06 Ruger bolt-action rifle; 12-gauge Browning pump-action shotgun,Male,School,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.","['charles', 'carl', 'roberts', '32', 'shot', '10', 'young', 'girls', 'one', 'room', 'schoolhouse', 'bart', 'township', 'killing', '5', 'taking', 'life', 'told', 'wife', 'molested', 'two', 'young', 'relatives', '20', 'years', 'ago']",10/2/2006,white,Yes,He told his wife that he'd molested two young relatives 20 years ago. ,-76.0806,"http://news.google.com/newspapers?id=O8oyAAAAIBAJ&sjid=YSUEAAAAIBAJ&pg=6143,1260138&dq=charles+carl+roberts+mentally+ill&hl=en;http://www.msnbc.msn.com/id/15105305/ns/us_news-crime_and_courts/t/th-girl-dies-after-amish-schoolhouse-shooting/#.UFD4SxhgspQ; http://www.foxnews.com/story/0,2933,217170,00.html",6,2006,"Local stores in Nickel Mines, Penn. "
Capitol Hill massacre,9,"Seattle, Washington",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,"Two semiautomatic handguns, one rifle (assault), one shotgun",http://seattletimes.com/html/localnews/2002898900_huff30m.html,47.6229,".40-caliber Ruger, one other semiautomatic handgun; Bushmaster XM15 E2S semiautomatic rifle; 12-gauge Winchester Defender pump-action shotgun with extended tube and pistol grip",Male,Other,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.","['kyle', 'aaron', 'huff', '28', 'opened', 'fire', 'rave', 'afterparty', 'capitol', 'hill', 'neighborhood', 'seattle', 'committing', 'suicide', 'police', 'unable', 'find', 'record', 'treated', 'mental', 'illness', 'psychiatric', 'medication']",3/25/2006,white,Yes,Police were unable to find any record that he had been treated for mental illness or was on psychiatric medication.,-122.3165,http://seattletimes.com/html/localnews/2002892043_shooter27m.html; http://seattletimes.com/html/localnews/2002898900_huff30m.html,7,2006,"Various sporting goods stores in Kalispell, Mont."
Goleta postal shootings,8,"Goleta, California",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,One semiautomatic handgun,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UNyN5cXhe75,34.436283,9mm Smith & Wesson 915 semiautomatic handgun,Female,Workplace,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.","['former', 'postal', 'worker', 'jennifer', 'sanmarco', '44', 'shot', 'dead', 'former', 'neighbor', 'drove', 'mail', 'processing', 'plant', 'used', 'work', 'inside', 'opened', 'fire', 'killing', 'six', 'employees', 'committing', 'suicide', 'placed', 'retirement', 'disability', 'psychological', 'reasons', 'fellow', 'employees', 'described', 'behavior', 'increasingly', 'bizarre', 'believed', 'postal', 'service', 'employees', 'conspiring']",1/30/2006,white,Yes,She was placed on retirement disability for psychological reasons. Fellow employees described her behavior as increasingly bizarre. She believed the Postal Service employees were conspiring against her.,-119.8714406,http://www.msnbc.msn.com/id/11167920/ns/us_news-crime_and_courts/t/postal-killer-believed-she-was-target-plot/#.UIxy7kzLwTE; http://www.cbsnews.com/stories/2006/02/02/national/main1272077.shtml; ,8,2006,"Pawn shops in Grants and Gallup, N.M."
Red Lake massacre,15,"Red Lake, Minnesota",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",5,"Two semiautomatic handguns, one shotgun",http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story,47.876346,".40-caliber Glock 23, .22-caliber Ruger semiautomatic handguns; 12-gauge Remington 870 shotgun",Male,School,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.","['jeffrey', 'weise', '16', 'murdered', 'grandfather', 'police', 'officer', ""grandfather's"", 'girlfriend', 'weise', 'drove', ""grandfather's"", 'squad', 'car', 'red', 'lake', 'senior', 'high', 'school', 'opened', 'fire', 'reservation', 'campus', 'killing', 'another', 'seven', 'people', 'committing', 'suicide', 'voluntarily', 'visited', 'psychiatric', 'ward', 'hospitalized', 'least', 'suicidal', 'tendencies', 'taking', 'prozac']",3/21/2005,Native American,No,He voluntarily visited a a psychiatric ward. He was hospitalized at least once for suicidal tendencies and was taking Prozac.,-95.0169401,"http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html",10,2005,Glock and Remington stolen from grandfather
Living Church of God shooting,11,"Brookfield, Wisconsin",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,One semiautomatic handgun,http://www.cbsnews.com/2100-201_162-679761.html,43.0605671,9mm Beretta semiautomatic handgun,Male,Religious,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.","['living', 'church', 'god', 'member', 'terry', 'michael', 'ratzmann', '44', 'opened', 'fire', 'church', 'meeting', 'sheraton', 'hotel', 'committing', 'suicide', 'neighbors', 'said', 'suffered', 'depression', 'drinking', 'problem']",3/12/2005,white,Yes,Neighbors said he suffered from depression and had a drinking problem.,-88.1064787,"http://www.cbsnews.com/2100-201_162-679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_news-crime_and_courts/t/relatives-struggle-answers-after-shooting/#.UN3Scko6JT4",7,2005,"Gun dealer in Waukesha, Wis."
Damageplan show shooting,12,"Columbus, Ohio",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",7,One semiautomatic handgun,http://www.cbsnews.com/2100-201_162-659983.html,39.9622601,9mm Beretta 92FS semiautomatic handgun,Male,Other,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.","['nathan', 'gale', '25', 'possibly', 'upset', 'breakup', 'pantera', 'gunned', 'former', 'pantera', 'guitarist', 'dimebag', 'darrell', 'three', 'others', 'damageplan', 'show', 'police', 'officer', 'fatally', 'shot', 'gale', 'discharged', 'military', 'paranoid', 'schizophrenic']",12/8/2004,white,Yes,He was discharged from the military because he was a paranoid schizophrenic.,-83.0007065,http://www.cbsnews.com/2100-201_162-659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362,5,2004,Received as a gift from mother
Lockheed Martin shooting,15,"Meridian, Mississippi",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",8,"One semiautomatic handgun, two rifles, one derringer, one shotgun",http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm,32.376081,".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",Male,Workplace,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.","['assembly', 'line', 'worker', 'douglas', 'williams', '48', 'opened', 'fire', 'lockheed', 'martin', 'workplace', 'racially', 'motivated', 'attack', 'committing', 'suicide', 'cousin', 'said', 'depressed', 'going', 'lot', 'things']",7/8/2003,white,Yes,"His cousin said he was depressed and ""going through a lot of things.""",-88.68978002,http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm; http://www.nytimes.com/2003/07/09/us/man-kills-5-co-workers-at-plant-and-himself.html; http://www.nytimes.com/2003/07/16/us/national-briefing-south-mississippi-death-toll-rises-in-plant-shooting.html,7,2003,Purchased from an individual
Navistar shooting,9,"Melrose Park, Illinois",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",4,"Two rifles, one revolver, one shotgun",http://articles.chicagotribune.com/2001-02-07/news/0102070122_1_navistar-gun-law-hunting-rifle,41.9005865,"SKS 1954R, .30-caliber Winchester rifles; 12-gauge Remington pump-action shotgun; .38-caliber revolver",Male,Workplace,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.","['fired', 'employee', 'william', 'd', 'baker', '66', 'opened', 'fire', 'former', 'navistar', 'workplace', 'committing', 'suicide', 'criminal', 'past', 'including', 'sexual', 'assault', 'conviction']",2/5/2001,black,Yes,"He had a criminal past, including a sexual assault conviction.",-87.8567277,http://articles.chicagotribune.com/2001-02-07/news/0102070122_1_navistar-gun-law-hunting-rifle; http://www.vpc.org/studies/wgun010205.htm,5,2001,"Some purchased from Pepper Sports in Glen Ellyn, Ill. "
Wakefield massacre,7,"Wakefield, Massachusetts",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,"One semiautomatic handgun, one rifle (assault), one shotgun",http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.boston.com/news/daily/24/mcdermott_verdict.htm,42.506484,.32-caliber Retolaza semiautomatic handgun; AK-47 variant semiautomatic rifle; 12-gauge Winchester 1300 pump-action shotgun,Male,Workplace,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.","['michael', 'mcdermott', '42', 'opened', 'fire', 'co', 'workers', 'edgewater', 'technology', 'later', 'arrested', 'psychiatrist', 'guessed', 'schizophrenia', 'mcdermott', 'researched', 'fake', 'mental', 'illness', 'internet', 'defense', 'lawyer', 'described', 'history', 'suicide', 'attempts', 'mental', 'illness', 'dating', 'back', 'teen', 'years', 'jury', 'rejected', 'insanity', 'defense']",12/26/2000,white,Yes,"Psychiatrist guessed he had schizophrenia, but McDermott had researched how to fake a mental illness on the internet. Defense lawyer described history of suicide attempts and mental illness dating back to teen years. Jury rejected his insanity defense. ",-71.0728306,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7-die-in-rampage-at-company-co-worker-of-victims-arrested.html; http://www.vpc.org/studies/wgun001226.htm",7,2000,Unknown
Hotel shooting,8,"Tampa, Florida",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,"One semiautomatic handgun, one revolver",http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml,27.9477595,9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver,Male,Workplace,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.","['hotel', 'employee', 'silvio', 'leyva', '36', 'gunned', 'four', 'coworkers', 'radisson', 'bay', 'harbor', 'inn', 'killing', 'woman', 'outside', 'refused', 'give', 'car', 'arrested', 'shortly', 'shootings', 'brother', 'called', 'unbalanced', 'mentally', 'ill']",12/30/1999,Latino,Yes,"His brother called him ""unbalanced"" and mentally ill.",-82.458444,"http://www.sptimes.com/News/123000/news_pf/TampaBay/A_year_later__the_str.shtml; http://www.vpc.org/studies/wgun991230.htm; http://news.google.com/newspapers?id=CSUdAAAAIBAJ&sjid=ZaYEAAAAIBAJ&pg=2043,2634069&dq=silvio+leyva+shooting&hl=en",5,1999,"One purchased from Big E's in Tampa, Fla."
Xerox killings,7,"Honolulu, Hawaii",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,One semiautomatic handgun,http://archives.starbulletin.com/2000/06/02/news/story2.html,21.3255125,9mm Glock 17 semiautomatic handgun,Male,Workplace,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.","['byran', 'koji', 'uyesugi', '40', 'xerox', 'service', 'technician', 'opened', 'fire', 'inside', 'building', '9mm', 'glock', 'fled', 'later', 'apprehended', 'police', 'psychiatrist', 'testifying', 'prosecution', 'said', 'suffered', 'schizophrenia']",11/2/1999,Asian,Yes," A psychiatrist, testifying for the prosecution,said he suffered from schizophrenia.",-157.8473055,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm,7,1999,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii"
Wedgwood Baptist Church shooting,15,"Fort Worth, Texas",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",7,Two semiautomatic handguns,http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html,32.693397,".380-caliber, 9mm Ruger P85 semiautomatic handguns",Male,Religious,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.","['larry', 'gene', 'ashbrook', '47', 'opened', 'fire', 'inside', 'wedgwood', 'baptist', 'church', 'prayer', 'rally', 'committing', 'suicide', 'siblings', 'decribed', 'paranoid', 'schizophrenic']",9/15/1999,white,Yes,His siblings decribed him as a paranoid schizophrenic. ,-97.47067092,http://www.nytimes.com/1999/09/20/us/fort-worth-remembers-those-killed-at-church.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html; http://www.vpc.org/studies/wgun990915.htm,8,1999,"Trader's Village flea market in Grand Prairie, Texas"
Atlanta day trading spree killings,22,"Atlanta, Georgia",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",13,"Three semiautomatic handguns, one revolver",http://www.independent.co.uk/news/i-dont-plan-to-live-much-longer-just-long-enough-to-kill-the-people-that-greedily-sought-my-destruction-1109610.html,33.7490987,".45-caliber Colt 1911-A1, 9mm Glock 17, .25-caliber Raven Arms MP-25 semiautomatic handguns; .22-caliber Harrington & Richardson revolver",Male,Workplace,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)","['day', 'trader', 'mark', 'o', 'barton', '44', 'recently', 'lost', 'substantial', 'sum', 'money', 'went', 'shooting', 'spree', 'two', 'day', 'trading', 'firms', 'started', 'tech', 'investment', 'group', 'worked', 'went', 'momentum', 'securities', 'fled', 'hours', 'later', 'cornered', 'police', 'outside', 'gas', 'station', 'committed', 'suicide', 'two', 'days', 'spree', 'killed', 'wife', 'two', 'children', 'hammer', 'letters', 'details', 'deep', 'depression', 'downward', 'spiral']",7/29/1999,white,Yes,"In letters, he details his deep depression and downward spiral. ",-84.3901849,http://www.independent.co.uk/news/i-dont-plan-to-live-much-longer-just-long-enough-to-kill-the-people-that-greedily-sought-my-destruction-1109610.html; http://articles.cnn.com/1999-07-30/us/9907_30_atlanta.shooting.06_1_gladys-barton-debra-spivey-barton-note?_s=PM:US; http://www.vpc.org/studies/wgun990729.htm,9,1999,"Glock purchased from gun store in Warner Robins, Ga. "
Columbine High School massacre,37,"Littleton, Colorado",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",24,"One semiautomatic handgun (assault), one rifle (assault), two shotguns",http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html,39.6021065,"9mm Intratec DC-9 semiautomatic handgun; 9mm Hi-Point 995 carbine rifle; 12-gauge sawed-off Savage Stevens 311D, 12-gauge sawed-off Savage Springfield 67H pump-action shotguns",Male,School,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.","['eric', 'harris', '18', 'dylan', 'klebold', '17', 'opened', 'fire', 'throughout', 'columbine', 'high', 'school', 'committing', 'suicide', 'harris', 'alleged', 'psychopath', 'klebold', 'depressed', 'suicidal']",4/20/1999,white,No,Harris was an alleged psychopath; Klebold was depressed and suicidal.,-104.9877273,http://www.usatoday.com/news/nation/2009-04-13-columbine-myths_N.htm; http://www.vpc.org/studies/wgun990420.htm; http://www.slate.com/articles/news_and_politics/assessment/2004/04/the_depressive_and_the_psychopath.html,13,1999,"Purchased variously at Tanner Gun Show in Denver, Colo. and from an individual"
